gravy,
hot sauce,
black bean sauce,
barbecue sauce,
ketchup,
hot mustard,
honey mustard,
grey poupon,
HP brown sauce,
mayonnaise,
aioli,
bechamel sauce,
espagnole sauce,
velouté sauce,
tomato sauce,
hollandaise sauce,
salsa,
salsa verde,
guacamole,
bolognese,
alfredo sauce,
bordelaise sauce,
apple sauce,
mushroom sauce,
bearnaise sauce,
peanut sauce,
balsamic vinaigrette,
balsamic reduction,
worcestershire sauce,
cream,
brown butter sauce,
double cream,
duck fat,
goose fat,
beef drippings,
sriracha sauce,
carbonara sauce,
buffalo sauce,
pesto sauce,
pico de gallo,
chimichurri,
creme anglaise,
mornay sauce,
soy sauce,
hoisin sauce,
olive oil,
walnut oil,
sesame oil,
sunflower oil,
vegetable oil,
vinegar,
apple cider vinegar,
white vinegar,
balsamic vinegar
